location,date,precipitation,temp_max,temp_min,wind,weather
Seattle,1/1/2012,0,12.8,5,4.7,drizzle
Seattle,1/2/2012,10.9,10.6,2.8,4.5,rain
Seattle,1/3/2012,0.8,11.7,7.2,2.3,rain
Seattle,1/4/2012,20.3,12.2,5.6,4.7,rain
Seattle,1/5/2012,1.3,8.9,2.8,6.1,rain
Seattle,1/6/2012,2.5,4.4,2.2,2.2,rain
Seattle,1/7/2012,0,7.2,2.8,2.3,rain
Seattle,1/8/2012,0,10,2.8,2,sun
Seattle,1/9/2012,4.3,9.4,5,3.4,rain
Seattle,1/10/2012,1,6.1,0.6,3.4,rain
Seattle,1/11/2012,0,6.1,-1.1,5.1,sun
Seattle,1/12/2012,0,6.1,-1.7,1.9,sun
Seattle,1/13/2012,0,5,-2.8,1.3,sun
Seattle,1/14/2012,4.1,4.4,0.6,5.3,snow
Seattle,1/15/2012,5.3,1.1,-3.3,3.2,snow
Seattle,1/16/2012,2.5,1.7,-2.8,5,snow
Seattle,1/17/2012,8.1,3.3,0,5.6,snow
Seattle,1/18/2012,19.8,0,-2.8,5,snow
Seattle,1/19/2012,15.2,-1.1,-2.8,1.6,snow
Seattle,1/20/2012,13.5,7.2,-1.1,2.3,snow
Seattle,1/21/2012,3,8.3,3.3,8.2,rain
Seattle,1/22/2012,6.1,6.7,2.2,4.8,rain
Seattle,1/23/2012,0,8.3,1.1,3.6,rain
Seattle,1/24/2012,8.6,10,2.2,5.1,rain
Seattle,1/25/2012,8.1,8.9,4.4,5.4,rain
Seattle,1/26/2012,4.8,8.9,1.1,4.8,rain
Seattle,1/27/2012,0,6.7,-2.2,1.4,drizzle
Seattle,1/28/2012,0,6.7,0.6,2.2,rain
Seattle,1/29/2012,27.7,9.4,3.9,4.5,rain
Seattle,1/30/2012,3.6,8.3,6.1,5.1,rain
Seattle,1/31/2012,1.8,9.4,6.1,3.9,rain
Seattle,2/1/2012,13.5,8.9,3.3,2.7,rain
Seattle,2/2/2012,0,8.3,1.7,2.6,sun
Seattle,2/3/2012,0,14.4,2.2,5.3,sun
Seattle,2/4/2012,0,15.6,5,4.3,sun
Seattle,2/5/2012,0,13.9,1.7,2.9,sun
Seattle,2/6/2012,0,16.1,1.7,5,sun
Seattle,2/7/2012,0.3,15.6,7.8,5.3,rain
Seattle,2/8/2012,2.8,10,5,2.7,rain
Seattle,2/9/2012,2.5,11.1,7.8,2.4,rain
Seattle,2/10/2012,2.5,12.8,6.7,3,rain
Seattle,2/11/2012,0.8,8.9,5.6,3.4,rain
Seattle,2/12/2012,1,8.3,5,1.3,rain
Seattle,2/13/2012,11.4,7.2,4.4,1.4,rain
Seattle,2/14/2012,2.5,6.7,1.1,3.1,rain
Seattle,2/15/2012,0,7.2,0.6,1.8,drizzle
Seattle,2/16/2012,1.8,7.2,3.3,2.1,rain
Seattle,2/17/2012,17.3,10,4.4,3.4,rain
Seattle,2/18/2012,6.4,6.7,3.9,8.1,rain
Seattle,2/19/2012,0,6.7,2.2,4.7,sun
Seattle,2/20/2012,3,7.8,1.7,2.9,rain
Seattle,2/21/2012,0.8,10,7.8,7.5,rain
Seattle,2/22/2012,8.6,10,2.8,5.9,rain
Seattle,2/23/2012,0,8.3,2.8,3.9,sun
Seattle,2/24/2012,11.4,6.7,4.4,3.5,rain
